,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
1911,NCI,19.85,0.025947095,Household,46.9376,13,H,ST1,575.2512
1913,DRK,,0.0,Soft Drinks,40.5138,19,S,GS,40.6138
1915,NCW,15.1,0.059417055,Household,237.9248,49,M,ST1,2133.2232
1916,FDQ,20.5,0.036287517000000005,Fruits and Vegetables,121.2756,18,M,ST2,2181.1608
1918,DRB,16.75,0.024848787999999997,Soft Drinks,39.9822,35,S,ST1,746.3618
1919,FDQ,10.85,0.162903525,Snack Foods,104.9622,18,M,ST2,1482.0708
1920,FDH,16.2,0.016747538,Frozen Foods,98.6726,17,,ST1,1272.3438
1922,FDK,,0.079904068,Snack Foods,120.044,27,M,ST3,4434.228
1924,FDL,,0.06302467,Dairy,181.6318,27,M,ST3,1263.0226
1925,FDP,15.2,0.021203509,Canned,216.3824,35,S,ST1,6114.7072
1926,FDC,13.1,0.098765906,Frozen Foods,196.3768,35,S,ST1,2167.8448
1929,FDK,,0.12171245900000001,Fruits and Vegetables,101.2016,27,M,ST3,2631.2416
1930,DRD,13.85,0.030769458,Soft Drinks,141.7154,13,H,ST1,2978.1234
1931,DRG,5.78,0.014614357,Soft Drinks,147.3102,18,M,ST2,2332.9632
1932,FDH,,0.076868664,Frozen Foods,62.1194,19,S,GS,123.8388
1933,FDS,6.885,0.140292495,Canned,108.5228,45,,ST1,1989.4104
1934,NCH,8.42,0.070555571,Household,216.0192,35,S,ST1,2372.9112
1935,DRK,7.63,0.061409711,Soft Drinks,94.6436,17,,ST1,1607.2412
1936,FDD,10.5,0.066555152,Starchy Foods,80.896,17,,ST1,958.752
1937,FDB,7.575,0.092711708,Dairy,197.7768,10,,GS,197.0768
1938,FDO,13.5,0.017844608999999997,Snack Foods,81.396,13,H,ST1,1198.44
1939,FDD,12.15,0.025916882999999998,Starchy Foods,120.244,45,,ST1,2277.036
1940,FDR,5.405,0.053611144000000006,Canned,197.7742,35,S,ST1,796.2968
1942,FDC,7.435,0.122837694,Starchy Foods,208.7638,46,S,ST1,3105.9570000000003
1944,FDC,8.96,0.069078149,Fruits and Vegetables,197.7768,45,,ST1,3153.2288
1946,FDM,11.65,0.058822142,Baking Goods,173.5422,49,M,ST1,3448.844
1947,FDJ,10.5,0.07136869900000001,Frozen Foods,121.3098,49,M,ST1,1446.1176
1948,NCL,7.39,0.068055818,Health and Hygiene,140.7812,18,M,ST2,1567.2932
1949,FDW,,0.150122794,Meat,154.5314,27,M,ST3,1396.1826
1950,FDA,14.0,0.030094192000000002,Fruits and Vegetables,215.7192,46,S,ST1,1078.596
1951,FDA,18.5,0.076097035,Dairy,145.8102,10,,GS,291.6204
1952,FDW,13.65,0.025973384,Snack Foods,79.6302,45,,ST1,554.6114
1953,FDN,14.15,0.0,Snack Foods,244.1828,45,,ST1,731.0484
1954,FDM,10.1,0.053887301,Fruits and Vegetables,225.6088,17,,ST1,4250.4672
1955,FDX,10.1,0.024262772000000002,Canned,117.615,18,M,ST2,1514.695
1956,DRO,13.85,0.034624103999999996,Hard Drinks,115.0492,49,M,ST1,4054.722
1957,FDS,13.1,0.044281996,Fruits and Vegetables,178.5318,45,,ST1,3067.3406
1958,NCM,18.75,0.052121825,Health and Hygiene,104.82799999999999,49,M,ST1,2343.616
1960,DRF,16.1,0.023613955,Soft Drinks,192.8846,49,M,ST1,5350.3688
1962,FDB,,0.02363057,Snack Foods,141.7154,19,S,GS,425.4462
1964,FDL,20.7,0.047587685,Dairy,215.0876,45,,ST1,5145.3024
1965,FDS,7.825,0.07995298299999999,Meat,62.7826,18,M,ST2,1162.4868
1966,NCO,,0.024992442,Household,53.6614,19,S,GS,165.7842
1967,FDA,12.1,0.11510702800000001,Baking Goods,222.0114,45,,ST1,3547.3824
1968,NCK,,0.008604657,Household,123.1756,27,M,ST3,1211.756
1969,NCZ,14.65,0.08352844599999999,Household,162.4552,45,,ST1,2274.3728
1970,FDW,,0.036731658,Meat,177.237,27,M,ST3,4763.799
1971,FDI,20.75,0.129337594,Seafood,238.188,46,S,ST1,5033.448
1972,NCO,11.15,0.0,Others,65.0142,49,M,ST1,1120.5414
1973,DRF,12.1,0.029827665,Soft Drinks,144.3444,49,M,ST1,2612.5992
1974,FDK,11.6,0.157718931,Breakfast,168.3474,17,,ST1,4548.0798
1977,FDM,,0.013199737,Canned,108.9254,27,M,ST3,2713.135
1978,FDC,10.65,0.023971463,Fruits and Vegetables,54.0272,46,S,ST1,447.4176
1980,FDQ,7.35,0.014394261,Fruits and Vegetables,241.3512,45,,ST1,5331.7264
1984,FDF,10.195,0.017730951000000002,Starchy Foods,239.8538,17,,ST1,4086.0146
1986,DRG,16.2,0.019417732,Soft Drinks,153.7972,45,,ST1,1402.1748
1988,DRJ,12.65,0.105265475,Soft Drinks,159.9578,10,,GS,962.7468
1989,DRF,,0.038736754,Soft Drinks,37.319,27,M,ST3,1281.665
1990,FDE,10.895,0.04499187599999999,Frozen Foods,107.228,10,,GS,426.11199999999997
1991,FDS,5.735,0.05696122,Fruits and Vegetables,176.33700000000002,46,S,ST1,1764.37
1992,FDO,17.85,0.147255604,Breads,93.7436,17,,ST1,1701.7848
1993,FDT,5.82,0.077319079,Fruits and Vegetables,255.433,46,S,ST1,4357.661
1994,NCX,10.0,0.089135671,Health and Hygiene,146.9102,35,S,ST1,3207.8244
1996,DRJ,,0.04403602,Hard Drinks,173.308,27,M,ST3,6751.2119999999995
1997,FDL,10.1,0.027041858999999998,Meat,77.567,13,H,ST1,306.268
1998,FDZ,,0.056782237,Fruits and Vegetables,241.2512,27,M,ST3,8239.9408
1999,FDZ,17.6,0.03922186,Snack Foods,97.241,46,S,ST1,193.082
2000,FDJ,8.645,0.021581922000000003,Canned,53.3982,35,S,ST1,1209.7586
2002,FDW,7.68,0.071301323,Fruits and Vegetables,190.8162,17,,ST1,2693.8268
2003,DRL,15.7,0.030765898,Hard Drinks,43.277,45,,ST1,649.155
2004,FDR,5.405,0.053730029000000006,Canned,199.0742,45,,ST1,4777.7808
2005,FDS,20.85,0.062350672,Baking Goods,86.9514,45,,ST1,1416.8224
2006,NCL,7.39,0.068163102,Health and Hygiene,140.4812,17,,ST1,2422.1804
2007,FDS,6.465,0.0,Canned,263.1884,18,M,ST2,2914.8724
2008,FDB,18.25,0.015309885,Snack Foods,197.6084,45,,ST1,2380.9008
2009,FDW,,0.106538757,Dairy,222.3772,27,M,ST3,1556.6404
2010,FDQ,,0.061999648,Baking Goods,230.00099999999998,19,S,GS,689.1030000000001
2011,FDX,10.195,0.051618280999999995,Breads,31.9558,13,H,ST1,373.5138
2012,FDL,15.1,0.076505799,Baking Goods,91.583,17,,ST1,539.298
2014,FDV,,0.022074764,Snack Foods,141.418,19,S,GS,559.2719999999999
2015,FDM,,0.079146113,Frozen Foods,181.46599999999998,19,S,GS,179.766
2018,FDD,11.15,0.0,Dairy,44.7744,45,,ST1,181.0976
2019,NCT,,0.041663111,Health and Hygiene,188.6214,27,M,ST3,6029.4848
2020,NCW,18.0,0.019386234,Health and Hygiene,126.8994,46,S,ST1,3083.9856
2021,NCY,,0.135226962,Health and Hygiene,56.293,19,S,GS,113.186
2022,DRH,16.2,0.0,Soft Drinks,73.4696,13,H,ST1,2087.9488
2023,FDB,13.15,0.036729122,Frozen Foods,179.7976,49,M,ST1,2535.3664
2024,NCA,20.6,0.045380404000000006,Health and Hygiene,148.4392,13,H,ST1,1789.6704
2026,FDR,6.78,0.08573655,Fruits and Vegetables,229.5694,13,H,ST1,3425.5409999999997
2027,FDG,8.84,0.076681143,Frozen Foods,110.7228,49,M,ST1,1657.842
2028,FDX,16.7,0.10205577699999999,Canned,184.0292,46,S,ST1,3101.2964
2029,FDG,13.3,0.071856726,Fruits and Vegetables,63.2536,17,,ST1,1347.5792
2032,FDR,12.6,0.03150851,Baking Goods,170.5764,13,H,ST1,3779.0808
2033,FDS,6.67,0.123620492,Snack Foods,90.0514,49,M,ST1,1505.3738
2034,NCC,10.695,0.06375108,Household,36.7848,35,S,ST1,782.9808
2036,FDK,16.6,0.12220437099999999,Fruits and Vegetables,173.5738,35,S,ST1,1911.5118
2038,NCN,19.1,0.09243771099999999,Others,185.2608,17,,ST1,1470.0864
2040,DRL,19.5,0.07729230200000001,Soft Drinks,235.3958,49,M,ST1,6309.7866
2041,FDU,10.1,0.045763062,Snack Foods,38.4848,49,M,ST1,633.8416
2043,FDQ,19.7,0.041703666,Frozen Foods,109.1912,13,H,ST1,1637.868
2044,FDS,15.35,0.014098693,Frozen Foods,37.219,17,,ST1,805.618
2045,FDE,5.26,0.042008667,Baking Goods,162.6868,17,,ST1,3767.0964
2046,FDV,9.8,0.10693374800000001,Fruits and Vegetables,175.33700000000002,45,,ST1,529.311
2047,NCD,16.5,0.012663476000000002,Health and Hygiene,39.3506,45,,ST1,645.1602
2048,FDT,10.5,0.041387618,Fruits and Vegetables,40.1164,35,S,ST1,849.5608
2049,NCN,13.1,0.012148836000000001,Others,191.35299999999998,18,M,ST2,1328.271
2050,FDW,,0.005935001,Snack Foods,98.8358,27,M,ST3,2010.7160000000001
2051,FDF,9.3,0.014047825,Snack Foods,196.5084,45,,ST1,4364.9848
2052,FDI,14.3,0.026375082,Frozen Foods,79.6302,45,,ST1,792.302
2053,FDG,,0.0,Fruits and Vegetables,55.7298,27,M,ST3,2804.3496
2054,DRF,10.8,0.052174319000000004,Soft Drinks,240.3564,45,,ST1,4290.4152
2055,FDQ,,0.0,Baking Goods,38.1848,19,S,GS,37.2848
2056,FDP,12.85,0.13778685599999999,Snack Foods,157.763,18,M,ST2,2659.8709999999996
2058,FDE,9.195,0.064002068,Frozen Foods,85.5566,35,S,ST1,930.1226
2059,DRK,7.905,0.06406438,Hard Drinks,229.2694,46,S,ST1,1826.9552
2062,FDE,,0.0,Frozen Foods,83.7566,19,S,GS,253.6698
2063,FDZ,19.2,0.099991245,Frozen Foods,112.7886,13,H,ST1,1779.0176
2064,FDG,7.405,0.015334003,Canned,92.7146,18,M,ST2,1185.7898
2065,DRL,19.5,0.129170642,Soft Drinks,233.9958,10,,GS,467.3916
2069,NCT,8.695,0.120211747,Household,93.2094,17,,ST1,666.4658
2071,NCD,8.85,0.016006626,Household,105.6964,13,H,ST1,210.3928
2072,FDE,18.6,0.015766712,Snack Foods,152.9366,35,S,ST1,1662.5026
2073,NCO,,0.024536198999999998,Household,144.6102,27,M,ST3,3791.0652
2077,FDF,6.865,0.056830682,Snack Foods,214.0218,46,S,ST1,5556.7668
2078,FDC,16.7,0.054618573,Starchy Foods,65.5168,35,S,ST1,1022.6688
2079,NCY,7.285,0.052141447,Household,174.9054,10,,GS,525.3162
2080,DRE,8.43,0.017360867,Soft Drinks,196.2768,45,,ST1,1576.6144
2082,FDB,8.75,0.074743226,Fruits and Vegetables,187.6556,49,M,ST1,5257.1568
2083,FDL,,0.127792701,Fruits and Vegetables,111.1886,27,M,ST3,4447.544
2084,NCZ,,0.024358634,Health and Hygiene,190.4214,27,M,ST3,5652.642
2085,DRM,9.695,0.070431235,Hard Drinks,177.5344,35,S,ST1,3033.3848
2086,FDV,7.75,0.08293069900000001,Frozen Foods,35.2558,46,S,ST1,780.9834
2087,FDY,19.75,0.041330512,Fruits and Vegetables,115.8466,13,H,ST1,2474.7786
2089,FDM,11.8,0.057746382,Meat,152.4366,17,,ST1,3929.5516
2090,FDP,9.8,0.045337184,Baking Goods,36.8874,49,M,ST1,564.5984
2091,FDT,7.42,0.020374875,Snack Foods,248.0092,13,H,ST1,1245.046
2092,DRE,20.75,0.035568147,Soft Drinks,151.8024,10,,GS,151.8024
2093,FDN,12.6,0.062797771,Frozen Foods,103.999,49,M,ST1,825.592
2095,FDC,10.895,0.009613854,Dairy,122.973,13,H,ST1,1231.73
2096,FDO,16.6,0.026645307000000003,Frozen Foods,53.5614,18,M,ST2,939.4438
2097,FDD,6.765,0.08775368199999999,Frozen Foods,105.3306,17,,ST1,2090.612
2098,FDI,13.1,0.037657459,Fruits and Vegetables,175.8054,45,,ST1,2801.6864
2099,NCB,,0.041091215,Household,89.5514,27,M,ST3,3364.9532
2101,NCK,10.65,0.048686689000000005,Others,164.1526,46,S,ST1,1808.9786
2102,FDZ,,0.11709121300000001,Snack Foods,197.9084,19,S,GS,992.0419999999999
2103,FDB,20.25,0.022940826,Baking Goods,241.8538,46,S,ST1,5768.4912
2104,FDZ,20.5,0.119339241,Baking Goods,106.0596,35,S,ST1,970.7364
2105,FDN,11.8,0.014075333999999998,Frozen Foods,176.8344,13,H,ST1,3568.688
2106,FDW,15.0,0.046336634,Breads,120.0414,13,H,ST1,3533.4006
2107,FDB,13.15,0.036641589,Frozen Foods,180.7976,13,H,ST1,6157.3184
2108,FDR,15.5,0.101176316,Fruits and Vegetables,198.9768,18,M,ST2,4729.8432
2109,FDU,,0.035737372999999996,Fruits and Vegetables,260.6278,27,M,ST3,9371.8008
2111,FDH,14.35,0.091054989,Frozen Foods,231.8984,49,M,ST1,4633.968
2112,FDX,13.15,0.043852434,Snack Foods,182.695,45,,ST1,4211.185
2113,FDC,10.895,0.009620041999999999,Dairy,121.67299999999999,35,S,ST1,1970.7679999999998
2114,NCR,10.1,0.054939848,Health and Hygiene,199.5084,17,,ST1,3372.9428
2115,DRH,18.7,0.014675573999999999,Soft Drinks,50.8324,17,,ST1,934.7832
2116,NCR,12.15,0.14526636,Health and Hygiene,224.0404,49,M,ST1,3375.6059999999998
2117,FDS,10.195,0.14666293800000002,Frozen Foods,138.6838,46,S,ST1,2388.2246
2118,FDC,8.575,0.07178670599999999,Dairy,193.3794,13,H,ST1,780.3176
2119,FDP,16.5,0.133424184,Fruits and Vegetables,102.2332,10,,GS,102.5332
2120,FDK,9.065,0.11579959199999999,Frozen Foods,95.3094,18,M,ST2,1713.7692
2121,NCC,16.6,0.027579198,Household,178.7344,46,S,ST1,1605.9096
2122,FDZ,11.6,0.241055611,Dairy,238.5222,10,,GS,717.0666
2123,NCO,19.5,0.014332438999999999,Household,57.1614,18,M,ST2,1381.535
2124,NCP,16.6,0.027133398,Health and Hygiene,106.2596,10,,GS,215.7192
2125,DRE,11.85,0.132876847,Dairy,98.0726,49,M,ST1,1076.5986
2126,FDQ,12.85,0.03315162,Snack Foods,170.6422,13,H,ST1,2931.5174
2127,NCU,9.0,0.019536981000000002,Household,170.0474,49,M,ST1,4211.185
2128,FDX,5.655,0.085258864,Fruits and Vegetables,165.85,35,S,ST1,1830.95
2129,NCD,8.93,0.013179388,Household,55.1614,46,S,ST1,939.4438
2130,NCI,15.2,0.033592687,Household,108.1912,35,S,ST1,1856.2504
2131,FDS,7.655,0.05346916,Canned,114.1492,10,,GS,115.8492
2132,FDO,,0.126831854,Canned,209.02700000000002,27,M,ST3,4613.994000000001
2133,FDS,15.5,0.103603094,Snack Foods,143.547,49,M,ST1,1431.47
2134,FDI,18.7,0.10484088400000001,Frozen Foods,122.1072,49,M,ST1,490.0288
2135,DRK,9.5,0.042056944000000006,Soft Drinks,31.89,18,M,ST2,366.19
2136,FDG,13.65,0.040049609,Frozen Foods,34.4558,17,,ST1,611.2044
2137,FDU,19.5,0.03075661,Canned,86.25399999999999,45,,ST1,2163.85
2138,FDR,8.71,0.0,Canned,46.5376,13,H,ST1,575.2512
2140,DRE,19.6,0.024363938999999998,Dairy,46.3718,17,,ST1,661.8052
2141,FDR,,0.131443921,Fruits and Vegetables,189.1872,27,M,ST3,5294.4416
2142,NCU,11.8,0.05872513099999999,Health and Hygiene,82.3618,35,S,ST1,1208.427
2144,NCM,19.1,0.067239404,Household,39.6796,13,H,ST1,660.4736
2145,FDH,20.7,0.021464453999999997,Baking Goods,156.6288,49,M,ST1,3928.22
2147,FDQ,20.2,0.039469737000000005,Breakfast,155.16299999999998,17,,ST1,782.315
2148,DRJ,10.8,0.061101382999999995,Soft Drinks,151.9024,46,S,ST1,2580.6408
2150,FDD,19.35,0.016637301,Frozen Foods,120.9098,49,M,ST1,1687.1372
2151,FDC,7.405,0.159843921,Dairy,206.6296,18,M,ST2,3115.9440000000004
2152,NCY,15.25,0.061308889000000005,Household,128.8968,45,,ST1,2348.9424
2153,NCS,,0.055566935,Household,263.591,19,S,GS,262.991
2154,FDE,8.895,0.026397141000000002,Frozen Foods,207.8954,45,,ST1,3542.7218
2155,NCQ,18.75,0.034307348,Household,215.2218,46,S,ST1,4701.8796
2156,FDX,20.1,0.07462720099999999,Dairy,110.3228,46,S,ST1,1768.3648
2157,NCL,12.35,0.041973712,Health and Hygiene,35.7216,17,,ST1,519.3240000000001
2158,FDM,16.85,0.080015028,Snack Foods,111.8544,18,M,ST2,1677.816
2159,FDH,18.25,0.10084386,Starchy Foods,166.3526,10,,GS,164.4526
2161,FDT,,0.012203915,Snack Foods,133.2284,27,M,ST3,4350.3372
2162,FDR,14.3,0.130946374,Baking Goods,76.7328,18,M,ST2,1312.9576
2163,FDG,17.6,0.041381156,Snack Foods,35.019,46,S,ST1,659.1419999999999
2166,FDW,18.0,0.039231652,Snack Foods,145.1418,17,,ST1,2648.5524
2167,NCQ,16.35,0.013393536999999999,Others,106.02799999999999,45,,ST1,1065.28
2168,FDB,14.0,0.031444357,Canned,53.763999999999996,17,,ST1,798.96
2169,DRG,5.78,0.014555066,Soft Drinks,145.2102,46,S,ST1,3062.0142
2170,FDH,21.0,0.082526478,Snack Foods,191.8478,10,,GS,774.9912
2171,FDP,13.65,0.080765853,Frozen Foods,262.8936,49,M,ST1,4958.8784
2172,FDJ,12.3,0.17797002,Fruits and Vegetables,173.1396,10,,GS,697.7584
2173,FDI,12.35,0.03382933,Meat,196.9426,45,,ST1,2768.3964
2174,DRJ,11.8,0.11397026,Soft Drinks,185.1924,17,,ST1,2591.2936
2175,DRL,19.7,0.038729457,Hard Drinks,127.3362,35,S,ST1,755.0172
2176,FDP,10.1,0.032075379,Canned,50.9008,13,H,ST1,354.2056
2177,FDK,,0.196490902,Canned,120.544,19,S,GS,479.376
2178,FDO,17.85,0.146305498,Breads,94.1436,13,H,ST1,1607.2412
2181,FDW,14.5,0.064048405,Canned,153.4682,35,S,ST1,1677.1502
2183,DRE,13.35,0.017857847,Dairy,77.5012,18,M,ST2,1518.024
2184,FDR,6.675,0.041921462,Snack Foods,92.3462,46,S,ST1,2406.2012
2185,FDL,10.3,0.024875871,Baking Goods,173.0422,13,H,ST1,2069.3064
2187,FDX,17.1,0.073997843,Fruits and Vegetables,207.0638,13,H,ST1,4969.5312
2188,FDD,14.15,0.020798905,Fruits and Vegetables,123.6046,18,M,ST2,1245.046
2189,DRF,10.8,0.052363244,Soft Drinks,236.5564,17,,ST1,5243.8408
2191,FDF,6.215,0.012138795,Fruits and Vegetables,39.2848,13,H,ST1,521.9872
2192,FDY,17.5,0.0,Snack Foods,253.0356,35,S,ST1,4578.0408
2193,FDR,20.7,0.042923652,Dairy,178.3028,45,,ST1,1062.6168
2194,FDZ,8.975,0.009058845,Canned,103.399,46,S,ST1,2579.975
2195,FDH,20.5,0.032136417,Frozen Foods,83.9592,10,,GS,165.1184
2196,FDG,13.65,0.065898197,Frozen Foods,46.1402,18,M,ST2,459.402
2197,FDW,13.1,0.075731322,Dairy,167.5158,45,,ST1,1504.0422
2198,FDX,4.615,0.101812521,Canned,232.23,35,S,ST1,5126.66
2200,NCI,,0.080933328,Others,37.519,27,M,ST3,842.237
2201,FDZ,19.2,0.100055601,Frozen Foods,112.4886,35,S,ST1,1223.0746
2202,FDE,20.1,0.054540159000000005,Frozen Foods,152.1366,49,M,ST1,755.683
2204,FDE,9.3,0.14897741,Canned,143.0786,10,,GS,288.9572
2205,FDD,15.2,0.104201019,Fruits and Vegetables,176.5054,18,M,ST2,2976.7918
2206,FDR,12.65,0.076198809,Frozen Foods,191.3846,45,,ST1,2675.1844
2207,FDQ,11.1,0.010639596000000001,Canned,84.1908,35,S,ST1,755.0172
2208,NCJ,,0.025039776,Household,102.7332,19,S,GS,410.1328
2209,FDH,,0.08632670699999999,Snack Foods,192.6478,19,S,GS,387.4956
2211,FDT,19.75,0.01247354,Fruits and Vegetables,187.5872,45,,ST1,1323.6104
2212,DRD,6.135,0.07913221200000001,Soft Drinks,112.686,45,,ST1,2942.836
2213,FDR,12.5,0.020693809,Breads,199.1742,35,S,ST1,4379.6324
2214,FDL,7.235,0.10016525,Snack Foods,193.9452,45,,ST1,2936.178
2215,FDT,15.85,0.057302606,Snack Foods,53.3956,35,S,ST1,600.5516
2217,DRE,20.75,0.0,Soft Drinks,153.0024,35,S,ST1,2428.8384
2218,DRF,10.8,0.052149675,Soft Drinks,239.9564,49,M,ST1,3813.7024
2220,FDH,16.1,0.024987903,Fruits and Vegetables,97.34100000000001,49,M,ST1,1255.0330000000001
2222,FDE,19.35,0.049736267,Fruits and Vegetables,76.8644,45,,ST1,1571.2879999999998
2223,FDM,16.7,0.117026714,Baking Goods,189.2214,10,,GS,188.4214
2226,NCX,14.15,0.008811818,Household,196.511,45,,ST1,2749.7540000000004
2227,FDA,5.44,0.025583714,Dairy,239.1538,18,M,ST2,480.7076
2228,FDQ,7.35,0.014353174,Fruits and Vegetables,242.6512,13,H,ST1,969.4048
2229,FDY,,0.054220618,Breads,129.131,27,M,ST3,4933.5779999999995
2230,FDE,20.1,0.054410179,Frozen Foods,151.3366,13,H,ST1,2720.4588
2232,FDT,21.25,0.009996872,Meat,185.5608,35,S,ST1,3123.9336
2233,FDB,8.3,0.030212499,Baking Goods,98.0384,45,,ST1,2857.6136
2234,FDL,10.1,0.027217467999999998,Meat,76.067,17,,ST1,1454.773
2235,FDE,14.15,0.038123176,Starchy Foods,123.5046,17,,ST1,1992.0736
2236,FDS,9.0,0.079506434,Canned,78.3644,45,,ST1,1728.4168
2237,FDU,12.15,0.021811987,Breads,163.6184,18,M,ST2,2311.6576
2238,FDU,,0.082150145,Dairy,192.9504,27,M,ST3,7478.2656
2239,FDV,,0.036012919,Snack Foods,148.0734,19,S,GS,593.8936
2241,FDY,6.71,0.029560451,Baking Goods,65.8142,46,S,ST1,856.8846
2242,FDG,,0.039631495,Frozen Foods,31.9558,27,M,ST3,984.7182
2243,FDX,7.365,0.04280099,Fruits and Vegetables,228.372,17,,ST1,2037.348
2245,FDH,12.6,0.056394770999999996,Seafood,51.3982,17,,ST1,473.3838
2246,FDG,17.6,0.056379439,Frozen Foods,42.7454,49,M,ST1,293.6178
2247,NCA,19.0,0.129534812,Household,190.1872,49,M,ST1,5105.3544
2248,NCL,7.5,0.036439877999999995,Health and Hygiene,175.3028,17,,ST1,3010.7476
2249,DRE,13.35,0.0,Dairy,77.6012,46,S,ST1,986.7156
2250,NCS,8.6,0.090191431,Household,112.9176,46,S,ST1,458.0704
2252,FDB,10.5,0.022590317999999998,Snack Foods,140.6154,10,,GS,283.6308
2253,FDH,9.0,0.08201152099999999,Frozen Foods,213.3534,46,S,ST1,1935.4806
2254,DRF,4.61,0.122843005,Hard Drinks,172.4396,49,M,ST1,1569.9564
2255,FDE,10.895,0.05432142,Frozen Foods,146.2102,10,,GS,437.4306
2256,FDY,17.6,0.049144165,Snack Foods,112.7176,49,M,ST1,1717.764
2257,FDS,11.65,0.040577878,Fruits and Vegetables,188.22400000000002,49,M,ST1,1304.968
2258,NCM,19.1,0.067400032,Household,41.9796,49,M,ST1,784.3124
2259,FDY,17.2,0.012036432,Canned,165.7184,45,,ST1,1816.3024
2260,FDN,16.5,0.073977473,Canned,206.8638,45,,ST1,2070.638
2261,FDP,15.6,0.143396175,Breakfast,128.0994,45,,ST1,2184.4898
2262,NCF,9.0,0.03201648,Household,99.6016,35,S,ST1,1922.8304
2263,FDJ,15.0,0.058346234000000004,Snack Foods,44.0744,13,H,ST1,633.8416
2264,FDO,,0.14571827,Breads,94.3436,27,M,ST3,2269.0464
2265,FDH,,0.05580601599999999,Seafood,52.4982,27,M,ST3,1209.7586
2266,FDX,6.195,0.07209744900000001,Snack Foods,119.3098,49,M,ST1,1205.098
2267,FDV,20.2,0.11754371300000001,Baking Goods,197.31099999999998,49,M,ST1,3338.987
2268,FDE,20.7,0.048718334,Fruits and Vegetables,38.7506,13,H,ST1,227.7036
2269,NCI,20.25,0.059175599999999995,Household,245.046,18,M,ST2,4680.5740000000005
2270,FDS,7.655,0.031918284,Canned,117.7492,13,H,ST1,695.0952
2271,FDC,,0.09558797599999999,Fruits and Vegetables,193.982,19,S,GS,579.246
2275,FDQ,13.35,0.091189915,Snack Foods,149.3708,35,S,ST1,4514.124
2277,NCB,19.2,0.12973174699999998,Household,196.21099999999998,10,,GS,589.2330000000001
2278,FDC,19.0,0.103363904,Fruits and Vegetables,226.172,13,H,ST1,3169.208
2281,FDH,8.63,0.031271134,Snack Foods,186.0582,17,,ST1,3900.9222
2282,NCX,16.7,0.026729067999999998,Household,248.4776,18,M,ST2,6439.6176
2283,FDM,7.895,0.094567181,Breakfast,104.5332,46,S,ST1,1845.5976
2284,FDB,7.72,0.05193741,Fruits and Vegetables,77.9986,13,H,ST1,934.7832
2285,NCK,5.615,0.12648042199999998,Health and Hygiene,121.573,17,,ST1,3202.498
2288,DRL,8.52,0.027101431000000002,Soft Drinks,151.7682,49,M,ST1,2439.4912
2289,FDV,7.645,0.067083367,Snack Foods,44.0112,17,,ST1,596.5568
2290,FDV,12.1,0.020652362,Snack Foods,149.5734,18,M,ST2,2227.101
2291,FDQ,14.8,0.081042136,Meat,192.4846,46,S,ST1,5159.2842
2292,DRE,20.75,0.021336565,Soft Drinks,153.6024,18,M,ST2,1366.2216
2293,FDR,10.8,0.029001987000000003,Snack Foods,238.6222,45,,ST1,8604.7992
2294,DRJ,18.35,0.069745165,Hard Drinks,190.2872,10,,GS,378.1744
2295,FDQ,13.5,0.06814888599999999,Dairy,58.6562,18,M,ST2,711.0744
2296,NCA,20.5,0.144094079,Household,34.819,17,,ST1,1061.951
2297,FDT,12.35,0.186616421,Baking Goods,78.6328,18,M,ST2,1004.0264
2298,DRG,8.895,0.105323859,Dairy,39.1138,45,,ST1,609.207
2300,DRG,16.2,0.019374768,Soft Drinks,155.8972,35,S,ST1,2025.3636
2301,FDJ,7.26,0.014482278000000001,Meat,118.115,18,M,ST2,1864.24
2302,FDP,6.65,0.08780578800000001,Fruits and Vegetables,126.7678,49,M,ST1,1907.517
2303,FDV,13.35,0.048027043,Breads,218.9166,46,S,ST1,5660.6316
2304,FDP,17.35,0.055908268,Baking Goods,99.8016,35,S,ST1,607.2096
2305,FDE,,0.048522793,Fruits and Vegetables,39.6506,27,M,ST3,1024.6662
2306,FDK,5.46,0.032359413,Canned,187.424,17,,ST1,3169.208
2307,FDW,18.25,0.088807455,Frozen Foods,197.3452,35,S,ST1,2740.4328
2308,FDP,8.185,0.046556408,Fruits and Vegetables,47.7692,49,M,ST1,640.4996
2309,FDT,7.5,0.050750977,Canned,122.2072,46,S,ST1,1960.1152
2310,FDQ,12.65,0.035404052000000005,Baking Goods,230.601,35,S,ST1,2067.3089999999997
2311,FDR,14.3,0.13039045800000001,Baking Goods,77.2328,35,S,ST1,231.6984
2312,FDZ,17.85,0.074422769,Snack Foods,128.002,10,,GS,253.00400000000002
2313,FDM,6.425,0.10574254400000001,Breakfast,130.5626,10,,GS,131.1626
2314,FDF,6.825,0.046729335999999996,Canned,153.4998,45,,ST1,2153.1972
2315,FDN,,0.07347023400000001,Canned,205.3638,27,M,ST3,5383.6588
2316,NCI,20.25,0.058886477,Household,245.546,13,H,ST1,1724.422
2317,NCJ,19.2,0.18293775,Others,243.0196,49,M,ST1,3615.2940000000003
2318,NCQ,17.7,0.020993364,Household,166.8474,10,,GS,168.4474
2319,FDB,9.695,0.029223423999999998,Canned,175.437,45,,ST1,2999.429
