Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Item_Outlet_Sales
FDV,16.7,0.060863167,Baking Goods,97.6384,35,S,ST1,2857.6136
FDQ,5.785,0,Fruits and Vegetables,87.1856,35,S,ST1,1406.1696
FDK,,0.045105407,Meat,89.4172,19,S,GS,178.4344
DRG,6.13,0.076855207,Dairy,59.3536,49,M,ST1,1470.0864
NCR,9.8,0.024482644,Health and Hygiene,116.2492,18,M,ST2,2896.23
FDV,,0,Canned,154.6314,27,M,ST3,6515.5188
FDT,7.42,0.020474913,Snack Foods,248.4092,18,M,ST2,996.0368
FDT,16.7,0.062044506,Snack Foods,57.4562,46,S,ST1,948.0992
FDL,,0.220225608,Fruits and Vegetables,85.6198,19,S,GS,87.2198
FDS,9,0.079794329,Canned,80.1644,17,,ST1,1178.466
FDT,,0.114916546,Fruits and Vegetables,188.4214,19,S,GS,565.2642
NCX,6.36,0.00597362,Household,164.5526,13,H,ST1,2137.8838
FDX,17.7,0.146973462,Dairy,184.1292,10,,GS,547.2876
FDN,16.5,0.07376631,Canned,208.5638,13,H,ST1,2691.8294
FDJ,,0.049349121,Frozen Foods,108.6912,27,M,ST3,3057.3536
FDU,,0.328390948,Canned,146.0418,19,S,GS,588.5672
DRE,11.85,0.13267058,Dairy,96.4726,46,S,ST1,978.726
FDS,10.195,0.012455787,Meat,197.511,35,S,ST1,2356.932
FDU,,0.058142797,Fruits and Vegetables,162.1552,27,M,ST3,3086.6488
DRM,,0.006289291,Hard Drinks,153.2998,19,S,GS,461.3994
FDT,13.65,0.04929502,Fruits and Vegetables,150.505,49,M,ST1,2696.49
FDL,20.35,0.054362695,Snack Foods,117.9466,17,,ST1,1649.8524
NCV,20.2,0.110356797,Household,62.051,10,,GS,126.502
FDP,13.85,0.085274988,Meat,119.6124,46,S,ST1,2014.7108
FDA,8.05,0.164542555,Dairy,112.2518,13,H,ST1,1707.777
FDM,7.365,0.160292264,Snack Foods,94.712,45,,ST1,932.12
FDK,12.5,0.112859454,Canned,118.344,17,,ST1,2157.192
FDJ,7.42,0.021569566,Seafood,184.8582,35,S,ST1,4643.955
FDJ,,0.073055148,Seafood,33.7216,27,M,ST3,1280.9992
NCB,6.235,0.119345629,Household,261.991,17,,ST1,2366.919
FDJ,12.35,0.072334667,Dairy,49.1692,13,H,ST1,886.8456
FDT,6.75,0.108148913,Dairy,95.6752,13,H,ST1,958.752
NCY,16.75,0.07585337,Health and Hygiene,36.8532,49,M,ST1,1150.5024
FDJ,19.35,0.062655235,Baking Goods,163.3184,45,,ST1,2641.8944
FDZ,9.6,0.022278477,Breads,102.499,46,S,ST1,1547.985
FDS,19.85,0.020961192,Snack Foods,62.0194,18,M,ST2,619.194
FDM,15.1,0.025993423,Frozen Foods,147.4076,46,S,ST1,2808.3444
FDQ,,0.018838681,Fruits and Vegetables,62.9536,27,M,ST3,2266.3832
FDQ,6.59,0.105577348,Fruits and Vegetables,85.6908,35,S,ST1,1929.4884
FDS,16.75,0.129086113,Breads,89.4856,49,M,ST1,1054.6272
DRM,15.2,0.113125627,Soft Drinks,38.6848,45,,ST1,1155.8288
FDW,13,0.070699313,Snack Foods,65.7484,17,,ST1,1174.4712
FDW,5.86,0.151467821,Meat,154.1314,18,M,ST2,3412.8908
NCQ,11.395,0.03616416,Health and Hygiene,150.1708,10,,GS,300.9416
FDU,20.85,0.062606583,Frozen Foods,192.2478,10,,GS,387.4956
DRE,,0.0704378,Soft Drinks,112.886,27,M,ST3,2942.836
FDX,5.035,0.079844043,Breads,226.3036,13,H,ST1,4098.6648
FDD,11.15,0.120139206,Dairy,45.0744,49,M,ST1,452.744
FDY,6.38,0.032028115,Dairy,178.3344,18,M,ST2,3211.8192
NCN,8.39,0.120497266,Household,162.2868,46,S,ST1,2620.5888
FDR,5.675,0.023492524,Snack Foods,155.5288,35,S,ST1,1414.1592
FDL,15.7,0.122657336,Fruits and Vegetables,110.1544,49,M,ST1,1565.9616
FDW,13,0.070588037,Snack Foods,65.9484,18,M,ST2,1043.9744
NCO,,0.073024401,Health and Hygiene,121.844,27,M,ST3,3115.944
FDR,13.5,0.159587755,Fruits and Vegetables,145.3102,13,H,ST1,729.051
FDJ,8.895,0.088821765,Snack Foods,125.173,17,,ST1,2956.152
FDB,10.895,0.136810742,Dairy,263.0568,46,S,ST1,527.3136
FDA,16.2,0.128682722,Frozen Foods,178.437,45,,ST1,1058.622
FDZ,,0.109459733,Fruits and Vegetables,84.1592,27,M,ST3,1320.9472
FDR,15.1,0.096644015,Meat,131.9942,17,,ST1,3047.3666
NCK,7.475,0.013120028,Household,217.6192,46,S,ST1,1725.7536
FDZ,,0,Baking Goods,144.847,19,S,GS,143.147
FDM,10.8,0.048339408,Baking Goods,41.5138,18,M,ST2,446.7518
NCI,20,0.08165845,Others,35.019,18,M,ST2,585.904
FDX,14.3,0.04975339,Meat,210.3586,49,M,ST1,6331.758
NCV,10.1,0.030379382,Health and Hygiene,153.4656,17,,ST1,1853.5872
FDX,17.85,0.065810045,Frozen Foods,149.105,46,S,ST1,2247.075
DRK,9.5,0,Soft Drinks,32.89,10,,GS,33.29
NCA,20.75,0.025272781,Health and Hygiene,146.6734,17,,ST1,445.4202
DRG,12.1,0.019314961,Dairy,164.6526,10,,GS,657.8104
NCR,20.6,0.071282168,Household,74.4696,18,M,ST2,223.7088
NCE,7.67,0.184843579,Household,33.1216,46,S,ST1,727.0536
FDM,,0.122896411,Fruits and Vegetables,111.1912,19,S,GS,218.3824
FDP,20.6,0.082935004,Baking Goods,119.5756,13,H,ST1,2665.8632
DRM,15.35,0.161350176,Soft Drinks,196.6768,10,,GS,591.2304
FDN,5.46,0.106968096,Fruits and Vegetables,142.6786,13,H,ST1,2311.6576
DRE,9.395,0.159582185,Soft Drinks,224.772,49,M,ST1,7017.532
FDW,,0.14453827,Canned,180.6002,19,S,GS,895.501
FDM,10,0.038685802,Fruits and Vegetables,243.8144,46,S,ST1,4655.2736
FDK,,0.172309903,Meat,98.2042,19,S,GS,198.4084
FDK,7.445,0.037690731,Baking Goods,73.3354,49,M,ST1,451.4124
FDO,,0.05787008,Breakfast,49.7008,19,S,GS,50.6008
FDC,15.5,0.026409147,Fruits and Vegetables,102.1332,18,M,ST2,615.1992
NCZ,19.85,0.064367627,Health and Hygiene,126.1704,13,H,ST1,876.1928
FDP,11.5,0.173516063,Fruits and Vegetables,128.1652,46,S,ST1,2454.1388
FDQ,,0.12898088,Baking Goods,250.4724,19,S,GS,251.6724
DRL,10.5,0.048115543,Hard Drinks,159.0946,45,,ST1,4102.6596
FDO,19.7,0.077899109,Baking Goods,177.766,35,S,ST1,2696.49
FDN,,0.13093275,Frozen Foods,86.9198,27,M,ST3,1569.9564
FDF,10.3,0.098464979,Fruits and Vegetables,188.653,10,,GS,189.753
FDU,20.85,0.037372847,Frozen Foods,192.7478,13,H,ST1,3099.9648
FDS,13.35,0.032230526,Meat,61.4194,49,M,ST1,743.0328
FDE,12.1,0.040357315,Fruits and Vegetables,177.8002,46,S,ST1,1611.9018
FDX,20.1,0.07461309,Dairy,108.7228,35,S,ST1,1215.7508
NCN,,0.160936178,Others,184.2608,19,S,GS,367.5216
FDQ,21.25,0.019502354,Snack Foods,120.8756,18,M,ST2,3150.5656
FDV,,0.065577449,Snack Foods,181.766,27,M,ST3,7370.406
FDB,6.655,0.016944719,Fruits and Vegetables,209.2586,13,H,ST1,2954.8204
FDG,13.65,0.065576228,Frozen Foods,47.7402,13,H,ST1,643.1628
FDL,,0.02579577,Canned,88.4172,19,S,GS,89.2172
NCS,13.6,0.010008699,Household,176.737,49,M,ST1,4940.236
DRL,15.5,0.053362086,Soft Drinks,41.577,35,S,ST1,735.709
FDA,10.895,0.064621927,Fruits and Vegetables,196.6794,13,H,ST1,1170.4764
FDZ,19.7,0.018126724,Meat,101.799,17,,ST1,1135.189
FDG,8.1,0,Fruits and Vegetables,211.8902,18,M,ST2,3823.0236
FDH,21,0.049263979,Snack Foods,195.0478,13,H,ST1,1549.9824
FDO,13.65,0.021343732,Snack Foods,58.3588,10,,GS,114.5176
FDS,,0.110681931,Breads,63.2826,27,M,ST3,1033.3216
FDI,,0.061955439,Frozen Foods,145.1418,27,M,ST3,4561.3958
FDN,,0.076483451,Snack Foods,163.1236,27,M,ST3,2416.854
NCO,13.15,0.024701262,Household,176.8686,45,,ST1,2133.2232
FDB,15.25,0.02671821,Snack Foods,85.2198,18,M,ST2,1482.7366
FDD,19.35,0.016597651,Frozen Foods,121.5098,13,H,ST1,2892.2352
FDX,,0.0514111,Breads,33.0558,27,M,ST3,984.7182
FDZ,17.75,0.112985849,Baking Goods,185.424,10,,GS,745.696
FDX,20.7,0.11411709,Dairy,92.7436,46,S,ST1,1323.6104
FDV,9.5,0,Fruits and Vegetables,110.4228,17,,ST1,1547.3192
FDR,11.65,0.175033524,Dairy,55.5298,17,,ST1,647.1576
FDO,21.1,0.020760673,Breakfast,128.7994,45,,ST1,1798.9916
FDO,7.865,0.061405051,Breakfast,166.3526,17,,ST1,1973.4312
FDU,12.35,0.026676216,Canned,57.0246,35,S,ST1,1737.738
NCK,,0.029380407,Household,114.715,27,M,ST3,1864.24
FDZ,16.25,0.025715562,Fruits and Vegetables,168.1474,13,H,ST1,1516.0266
NCL,12.15,0.065026434,Others,253.704,17,,ST1,5060.08
FDD,10.5,0.066315023,Starchy Foods,78.296,45,,ST1,2157.192
FDJ,12.8,0.023664054,Meat,226.0404,17,,ST1,5400.9696
FDA,,0.154627247,Snack Foods,177.637,27,M,ST3,5469.547
DRF,4.61,0.205294827,Hard Drinks,172.8396,10,,GS,174.4396
FDT,7,0.152261999,Canned,105.728,17,,ST1,1278.336
NCO,10,0,Health and Hygiene,120.644,35,S,ST1,1917.504
FDH,6.405,0.136275173,Snack Foods,128.1678,35,S,ST1,1017.3424
FDT,9.3,0.174621343,Snack Foods,104.2964,49,M,ST1,1998.7316
FDB,11.6,0.038597077,Dairy,57.9272,45,,ST1,615.1992
FDQ,16.75,0.029799965,Snack Foods,39.1822,45,,ST1,314.2576
NCN,12.15,0.011314423,Others,122.973,10,,GS,123.173
FDG,14.7,0.072410764,Fruits and Vegetables,48.2034,49,M,ST1,1020.6714
FDR,20,0.028118435,Fruits and Vegetables,46.7744,35,S,ST1,1222.4088
FDU,,0.163350221,Snack Foods,120.2124,19,S,GS,474.0496
NCC,7.39,0.093307713,Household,250.9066,17,,ST1,1506.0396
FDP,20.75,0.105994654,Breakfast,150.5682,10,,GS,762.341
FDF,9.3,0.067055339,Frozen Foods,184.2292,18,M,ST2,1277.0044
FDZ,10.195,0.107376743,Snack Foods,147.6076,35,S,ST1,3547.3824
FDP,,0.043810028,Baking Goods,181.395,27,M,ST3,6042.135
FDW,7.68,0.118672537,Fruits and Vegetables,192.2162,10,,GS,384.8324
FDC,10.195,0.126897925,Canned,110.6886,18,M,ST2,1223.0746
FDF,9.3,0.014076503,Snack Foods,200.0084,18,M,ST2,2182.4924
FDJ,8.895,0.088305478,Snack Foods,123.473,35,S,ST1,1478.076
FDD,16,0.090153756,Dairy,143.2154,45,,ST1,1418.154
NCJ,19.2,0.182501773,Others,239.2196,13,H,ST1,5061.4116
FDO,20.75,0.108710162,Snack Foods,161.7578,46,S,ST1,2888.2404
FDM,,0.058446424,Baking Goods,172.1422,27,M,ST3,5518.1504
NCY,13.5,0.054990009,Health and Hygiene,35.2874,46,S,ST1,741.0354
FDS,,0.15528831,Fruits and Vegetables,241.7538,27,M,ST3,9133.4444
FDZ,19.7,0.018021361,Meat,101.199,35,S,ST1,1857.582
NCM,6.095,0.0816559,Others,143.3154,17,,ST1,2836.308
DRK,8.21,0.010755465,Hard Drinks,150.8392,13,H,ST1,2982.784
FDO,17.7,0.050111641,Snack Foods,165.9816,10,,GS,167.7816
NCL,18.1,0.048931174,Household,127.3336,35,S,ST1,1150.5024
FDK,5.695,0.065960909,Frozen Foods,259.2646,17,,ST1,9275.9256
DRJ,20.25,0.036319195,Dairy,219.3482,35,S,ST1,5038.1086
NCP,,0.039055756,Household,152.3366,27,M,ST3,2115.9124
FDE,,0.049395242,Fruits and Vegetables,80.3644,27,M,ST3,1885.5456
FDZ,8.185,0.038789271,Fruits and Vegetables,115.6808,49,M,ST1,703.0848
FDV,18.2,0.012659235,Snack Foods,140.718,18,M,ST2,2656.542
NCO,19.25,0.108010006,Household,33.3558,35,S,ST1,713.0718
DRG,14.5,0.061934991,Dairy,154.4998,13,H,ST1,1691.7978
FDU,9.5,0.104421237,Canned,80.196,13,H,ST1,2157.192
FDI,19.85,0.053980686,Seafood,196.8768,13,H,ST1,2561.9984
FDM,8.655,0.088121336,Snack Foods,119.7756,13,H,ST1,2059.9852
FDC,10.195,0.126359196,Canned,109.2886,35,S,ST1,1334.2632
FDU,,0.034584356,Dairy,248.375,27,M,ST3,10236.675
FDB,14,0.031267496,Canned,51.464,46,S,ST1,692.432
FDC,8.39,0.024304264,Frozen Foods,114.0176,18,M,ST2,1488.7288
FDY,11.65,0.040144377,Snack Foods,228.9694,17,,ST1,6622.7126
FDR,14.5,0.063851475,Breads,260.4594,35,S,ST1,3139.9128
FDS,,0.079243005,Meat,65.8826,27,M,ST3,1614.565
FDR,18.2,0.161355122,Fruits and Vegetables,38.319,13,H,ST1,585.904
FDZ,,0.02748331,Canned,169.379,27,M,ST3,5602.707
NCN,10.85,0.028738058,Household,117.1808,45,,ST1,703.0848
FDO,17.25,0.073135768,Canned,77.2986,18,M,ST2,1012.6818
FDP,13.65,0.081096613,Frozen Foods,261.2936,17,,ST1,3131.9232
FDG,12.15,0.063430788,Meat,65.4826,10,,GS,258.3304
FDI,13.1,0.037549969,Fruits and Vegetables,176.1054,13,H,ST1,4027.4242
NCS,13.6,0.016726506,Household,176.037,10,,GS,352.874
FDE,20.1,0.054565932,Frozen Foods,152.2366,45,,ST1,2418.1856
NCG,16.35,0.029445361,Household,257.6646,46,S,ST1,2061.3168
FDQ,,0.048932713,Snack Foods,144.476,19,S,GS,146.476
NCB,6.235,0.118651919,Household,263.991,35,S,ST1,4207.856
NCP,8.42,0.112728355,Health and Hygiene,65.8168,18,M,ST2,830.9184
NCX,,0.156094569,Health and Hygiene,144.3102,19,S,GS,145.8102
FDU,9.5,0.104933928,Canned,78.796,18,M,ST2,1198.44
FDM,12.5,0.12341737,Canned,86.0198,10,,GS,87.2198
FDN,12.6,0.062700289,Frozen Foods,102.199,46,S,ST1,1960.781
FDR,16.85,0.139417654,Snack Foods,147.476,46,S,ST1,2929.52
FDE,,0.01612717,Canned,189.3556,27,M,ST3,2253.0672
FDL,6.635,0.077145553,Frozen Foods,39.8506,10,,GS,75.9012
FDQ,20.2,0.039215075,Breakfast,157.663,13,H,ST1,2190.482
FDI,14.1,0.089859642,Canned,140.2496,45,,ST1,1693.7952
FDS,15.15,0.066121873,Frozen Foods,145.676,13,H,ST1,3661.9
FDU,13.65,0.026643448,Meat,37.9532,49,M,ST1,862.8768
NCG,,0.073879939,Household,94.0462,27,M,ST3,1850.924
FDR,,0.08139146,Breads,177.837,27,M,ST3,6351.732
FDS,,0.005448005,Frozen Foods,102.1016,27,M,ST3,3542.056
NCP,12.15,0.028714747,Household,151.9708,18,M,ST2,3611.2992
DRF,,0.122058364,Hard Drinks,172.8396,27,M,ST3,7152.0236
FDO,13.5,0.125528734,Snack Foods,262.191,45,,ST1,6048.793
FDB,17.5,0.007555176,Dairy,145.9102,45,,ST1,2187.153
DRK,,0.077046505,Soft Drinks,189.453,19,S,GS,759.012
DRN,7.85,0.162980276,Hard Drinks,145.2444,46,S,ST1,1451.444
FDE,9.695,0.029632784,Snack Foods,159.692,45,,ST1,958.752
FDF,17.5,0.013634468,Frozen Foods,256.4304,35,S,ST1,1808.3128
FDE,9.195,0.064376263,Frozen Foods,83.1566,17,,ST1,1099.2358
FDW,,0.147663025,Fruits and Vegetables,106.028,27,M,ST3,1810.976
NCD,21.1,0.029003459,Household,143.4786,35,S,ST1,2311.6576
FDZ,10.195,0.107834541,Snack Foods,146.5076,18,M,ST2,1330.2684
FDO,17.85,0.146399663,Breads,93.8436,35,S,ST1,1418.154
FDN,15.6,0.04575559,Snack Foods,167.1132,35,S,ST1,2874.9244
FDL,16.1,0.063278652,Dairy,182.1318,13,H,ST1,2345.6134
FDT,13.3,0.063664998,Frozen Foods,151.6708,49,M,ST1,3912.2408
FDH,12.85,0.122221269,Snack Foods,45.9428,18,M,ST2,1274.3412
FDA,11.5,0.014944614,Starchy Foods,171.808,17,,ST1,5712.564
FDZ,16.25,0.025732114,Fruits and Vegetables,166.4474,35,S,ST1,5390.3168
DRH,14.65,0.171281641,Hard Drinks,54.0614,17,,ST1,1160.4894
NCO,13.15,0.024646608,Household,177.4686,35,S,ST1,5510.8266
DRG,8.895,0,Dairy,42.0138,18,M,ST2,568.5932
FDM,15.7,0.075661985,Frozen Foods,181.366,10,,GS,179.766
NCY,16.75,0.126765903,Health and Hygiene,35.7532,10,,GS,143.8128
FDD,10.3,0.030563449,Fruits and Vegetables,114.4176,35,S,ST1,2633.9048
FDD,8.05,0.078522357,Fruits and Vegetables,257.1646,49,M,ST1,6183.9504
FDP,18.6,0.039294854,Frozen Foods,246.6802,46,S,ST1,2702.4822
FDQ,20.75,0.089260667,Breakfast,193.4478,46,S,ST1,4843.695
NCY,13.5,0.05510153,Health and Hygiene,37.0874,45,,ST1,952.7598
NCE,8.18,0.013127548,Household,142.0154,35,S,ST1,1985.4156
DRI,17.25,0.042233642,Dairy,173.3764,35,S,ST1,2061.3168
NCI,20,0.081492092,Others,35.519,45,,ST1,1025.332
FDK,16.5,0,Baking Goods,96.2068,46,S,ST1,3013.4108
FDY,9.8,0.14061104,Baking Goods,49.8008,46,S,ST1,809.6128
FDO,17.25,0.072952298,Canned,76.0986,49,M,ST1,623.1888
FDP,15.85,0.069087481,Breads,218.7166,35,S,ST1,1088.583
FDC,,0.075215349,Fruits and Vegetables,108.4254,19,S,GS,217.0508
NCF,18,0.047645037,Household,172.6422,17,,ST1,2931.5174
FDC,,0.122242847,Starchy Foods,207.5638,27,M,ST3,4555.4036
FDV,16,0.076975118,Fruits and Vegetables,46.2086,49,M,ST1,490.6946
DRE,4.59,0.070890602,Soft Drinks,111.686,49,M,ST1,1584.604
DRE,11.85,0.132560174,Dairy,97.2726,13,H,ST1,782.9808
DRC,,0.044767032,Soft Drinks,173.7054,27,M,ST3,5778.4782
FDZ,,0.007962273,Dairy,174.0422,27,M,ST3,5173.266
NCW,18.2,0.058799705,Household,220.7456,17,,ST1,4420.912
NCZ,7.825,0.186445212,Household,255.5698,45,,ST1,1522.0188
FDL,,0.098606543,Breakfast,232.73,19,S,GS,932.12
NCN,8.895,0.125222705,Household,113.3544,18,M,ST2,1006.6896
FDI,18.5,0.062609071,Frozen Foods,148.6418,17,,ST1,1765.7016
FDV,14.85,0.009930514,Snack Foods,157.463,13,H,ST1,2503.408
NCB,,0.099428487,Household,187.8898,27,M,ST3,7296.5022
FDQ,7.51,0.103793399,Snack Foods,110.1544,35,S,ST1,2684.5056
FDC,15.6,0,Fruits and Vegetables,111.9518,49,M,ST1,2163.1842
FDB,8.02,0.111419588,Snack Foods,154.3998,35,S,ST1,3383.5956
FDV,11,0.106051405,Breads,124.4046,45,,ST1,2241.0828
FDK,,0.04016342,Snack Foods,181.166,27,M,ST3,3415.554
FDF,17.5,0.026925385,Frozen Foods,264.391,45,,ST1,5259.82
FDL,7.235,0.099962524,Snack Foods,193.8452,46,S,ST1,1957.452
FDD,,0.020614212,Fruits and Vegetables,126.4046,27,M,ST3,5353.6978
NCM,,0.050692386,Household,125.6678,27,M,ST3,4832.3764
FDW,18,0.008589133,Baking Goods,81.0618,17,,ST1,1450.1124
DRF,16.1,0.023673342,Soft Drinks,189.0846,18,M,ST2,5350.3688
NCM,7.475,0.075881475,Household,155.2656,45,,ST1,2934.8464
NCA,16.5,0.061330521,Household,178.7318,10,,GS,360.8636
FDT,11.35,0.030869612,Snack Foods,49.8008,45,,ST1,708.4112
FDH,16.1,0.024944396,Fruits and Vegetables,95.441,35,S,ST1,2220.443
FDT,18.7,0.057654132,Dairy,83.1566,45,,ST1,1606.5754
NCI,8.645,0.143713508,Health and Hygiene,96.641,45,,ST1,868.869
FDO,17.1,0.032812669,Frozen Foods,147.1392,17,,ST1,2237.088
FDP,9.8,0.045266806,Baking Goods,36.9874,46,S,ST1,705.748
FDI,,0.099747488,Fruits and Vegetables,75.2328,27,M,ST3,1544.656
FDB,,0,Fruits and Vegetables,242.9854,27,M,ST3,6767.1912
FDG,15.25,0.089742065,Frozen Foods,213.7192,13,H,ST1,1078.596
NCZ,10.5,0.011351778,Household,236.5248,17,,ST1,4029.4216
NCJ,5.82,0.081096613,Household,170.379,17,,ST1,1018.674
FDV,10,0.025827199,Canned,263.2226,46,S,ST1,3700.5164
NCO,5.5,0,Others,103.1016,45,,ST1,2024.032
NCF,18.35,0.148938624,Household,191.9504,10,,GS,767.0016
NCX,19,0,Health and Hygiene,211.0244,10,,GS,1482.0708
FDY,6.71,0.029535852,Baking Goods,67.5142,13,H,ST1,593.2278
FDU,10.3,0.011143599,Snack Foods,88.254,49,M,ST1,1125.202
NCI,18.35,0.014045832,Household,222.7746,49,M,ST1,1570.6222
FDL,13.8,0.014730322,Canned,90.9172,35,S,ST1,2141.2128
FDY,10.5,0.026520107,Baking Goods,144.8128,17,,ST1,2157.192
FDF,20.75,0.083736551,Frozen Foods,178.7318,49,M,ST1,3428.2042
NCM,,0.059557164,Health and Hygiene,263.7226,27,M,ST3,6872.3876
FDR,9.895,0.028837829,Canned,117.8492,18,M,ST2,1506.0396
FDA,,0.113669629,Canned,89.0198,19,S,GS,174.4396
FDY,,0.012865901,Frozen Foods,59.3536,19,S,GS,122.5072
FDL,,0.182236555,Canned,107.1622,19,S,GS,211.7244
FDO,11.1,0.176069023,Baking Goods,156.7604,13,H,ST1,1901.5248
FDM,10.1,0.053574075,Fruits and Vegetables,223.7088,35,S,ST1,2684.5056
FDJ,,0.044063785,Canned,147.2418,19,S,GS,294.2836
FDW,14,0.105573769,Frozen Foods,143.9812,18,M,ST2,1139.8496
FDT,,0.030657949,Snack Foods,50.5008,27,M,ST3,1012.016
FDY,9.395,0.172042892,Fruits and Vegetables,139.9838,17,,ST1,1966.7732
FDM,,0.064052392,Snack Foods,256.1646,27,M,ST3,7472.2734
FDH,,0.034531702,Canned,142.2496,27,M,ST3,2399.5432
NCM,6.13,0.028365524,Household,110.0912,49,M,ST1,1637.868
FDW,8.5,0.097866209,Canned,51.1324,35,S,ST1,1350.2424
FDN,,0.01401884,Frozen Foods,178.1344,27,M,ST3,3747.1224
NCD,9.1,0,Household,114.4518,46,S,ST1,1593.9252
FDB,15.25,0.044539371,Snack Foods,85.3198,10,,GS,261.6594
FDD,13.5,0,Fruits and Vegetables,179.9976,13,H,ST1,4889.6352
DRH,10.8,0,Hard Drinks,72.338,49,M,ST1,805.618
DRN,15.2,0.050168354,Soft Drinks,95.3752,35,S,ST1,1438.128
DRA,19.35,0.040154087,Soft Drinks,164.6868,17,,ST1,1146.5076
FDY,,0.009364957,Baking Goods,74.238,27,M,ST3,1171.808
FDG,11.5,0.037539164,Snack Foods,106.9254,13,H,ST1,3038.7112
FDK,9.8,0.026992588,Meat,127.302,17,,ST1,2277.036
NCM,7.475,0.076156245,Household,156.4656,17,,ST1,2008.0528
FDK,9.8,0.026192765,Snack Foods,215.685,18,M,ST2,649.155
FDF,,0.058542509,Fruits and Vegetables,188.353,27,M,ST3,4364.319
FDO,14.75,0.089686322,Snack Foods,115.3518,18,M,ST2,1821.6288
NCO,5.5,0.047364617,Others,100.0016,17,,ST1,708.4112
FDX,17.2,0.156269303,Meat,159.6578,35,S,ST1,3048.6982
FDS,19.2,0.035185588,Snack Foods,181.3318,46,S,ST1,1443.4544
FDD,,0.247321039,Snack Foods,152.3998,19,S,GS,153.7998
FDV,14.85,0.009979271,Snack Foods,155.763,18,M,ST2,3129.26
NCR,7.565,0.054863459,Health and Hygiene,58.393,18,M,ST2,509.337
FDU,18.25,0.075620262,Snack Foods,123.8046,17,,ST1,3486.1288
FDZ,9.6,0.02236923,Breads,104.799,18,M,ST2,1341.587
FDA,7.855,0.073906461,Dairy,218.4482,35,S,ST1,4819.0604
FDP,10.1,0.032283676,Canned,52.2008,17,,ST1,759.012
FDT,10.395,0.11207602,Snack Foods,58.022,35,S,ST1,659.142
FDA,16.25,0.087668236,Dairy,94.941,17,,ST1,1737.738
FDY,17.6,0.049067877,Snack Foods,115.6176,46,S,ST1,2519.3872
FDC,15.5,0.026355345,Fruits and Vegetables,100.8332,45,,ST1,1537.998
FDT,7.59,0.145631695,Fruits and Vegetables,172.808,18,M,ST2,2250.404
FDO,,0.029793955,Snack Foods,167.2816,27,M,ST3,5704.5744
NCV,11.1,0.033160417,Household,119.6124,49,M,ST1,2251.7356
FDH,,0.035574413,Fruits and Vegetables,131.4284,27,M,ST3,5404.9644
FDA,16.1,0.047801883,Frozen Foods,127.4362,46,S,ST1,2265.0516
FDB,5.155,0.083198341,Frozen Foods,246.0776,46,S,ST1,990.7104
FDK,,0.059281315,Seafood,111.586,19,S,GS,339.558
DRH,,0.171417316,Soft Drinks,173.0738,19,S,GS,347.5476
FDY,6.365,0.007348286,Frozen Foods,62.8536,46,S,ST1,796.2968
FDR,11.65,0,Baking Goods,152.6024,35,S,ST1,303.6048
FDY,18.25,0.170795745,Dairy,154.463,35,S,ST1,2190.482
FDM,11.8,0.025966531,Meat,102.2674,49,M,ST1,2444.8176
FDR,18.2,0.161489509,Fruits and Vegetables,37.619,46,S,ST1,366.19
FDW,13.65,0.025899245,Snack Foods,81.1302,13,H,ST1,792.302
FDV,8.365,0.039906377,Fruits and Vegetables,191.3188,49,M,ST1,1713.7692
DRH,,0.072864869,Soft Drinks,165.2526,19,S,GS,822.263
FDZ,20.7,0.079419755,Baking Goods,99.8042,49,M,ST1,1488.063
NCP,17.75,0.03050705,Others,180.366,46,S,ST1,2336.958
FDL,18,0.073490977,Canned,157.3972,18,M,ST2,778.986
DRM,9.695,0.070843019,Hard Drinks,177.7344,17,,ST1,1605.9096
FDM,6.42,0.053688479,Dairy,178.3002,18,M,ST2,2328.3026
DRD,10.6,0.056911107,Dairy,233.9642,45,,ST1,3717.8272
NCK,5.03,0.014472516,Household,122.0756,10,,GS,121.1756
FDV,7.825,0.150319469,Frozen Foods,156.9288,45,,ST1,1571.288
FDG,,0.032750291,Snack Foods,112.1518,27,M,ST3,5351.0346
FDO,17.7,0.016622448,Fruits and Vegetables,50.2034,49,M,ST1,1166.4816
NCN,8.235,0.014482153,Health and Hygiene,182.295,49,M,ST1,3661.9
DRA,11.6,0,Soft Drinks,141.6154,45,,ST1,3829.0158
FDJ,17.2,0.025205909,Canned,149.1418,49,M,ST1,1177.1344
NCK,11,0.037971697,Health and Hygiene,38.948,45,,ST1,519.324
FDO,19.6,0.039544237,Snack Foods,163.6526,13,H,ST1,1151.1682
FDB,8.02,0.111613921,Snack Foods,152.6998,49,M,ST1,3383.5956
FDG,5.365,0.140524691,Seafood,172.7764,45,,ST1,2233.0932
FDK,11.35,0.045073782,Snack Foods,101.9016,45,,ST1,2631.2416
DRH,,0.043168763,Soft Drinks,82.8592,19,S,GS,165.1184
FDT,16.35,0.020547951,Fruits and Vegetables,51.2324,46,S,ST1,571.2564
NCR,17.25,0.113694957,Household,253.4724,49,M,ST1,6040.1376
DRI,13.8,0.097043739,Dairy,57.493,35,S,ST1,1358.232
NCZ,8.485,0.058121214,Health and Hygiene,104.499,35,S,ST1,1238.388
FDU,11.8,0.07665661,Snack Foods,32.3558,13,H,ST1,169.779
